sentence,model_category_label
"Re:. Thanks anyway. no need to do anything right now. enjoy your vacation. Jeffrey Keeler 06/18/2001 01:10 PM To: Steven J Kean/NA/Enron@Enron cc: Subject: Re: Sorry I missed this on Friday -- was on vacation end of last week and rest of this week. If its not too late, I'll have Lisa pull some things together quickly. Also, my wife Marietta knows Isikoff well....they worked together on a number of things when she was at Court TV in Washington. Let me know what I can do to help. Jeffrey Keeler Director, Environmental Strategies Enron Washington DC office - (202) 466-9157 Cell Phone (203) 464-1541",2
"EES QBR - in 30c1. Lunch will be served at 11:30, QBR starts at 12:00.",3
"Confidential - New Procedures to be introduced by ENA OTC for Exec Employment Agreements and Hiring of Commercial Staff below VP into ENA. David, i agree in principle with this process. I assume that you and your team will implement. Like we spoke about, I do not see a need to widely distribute this through the commercial organization. I would just implement",0
"RE: Rice. Nelson, I don't see any problems with #1. For number 2, mention that the paper was written when you were a studentt at Rice. Vince -----Original Message----- From: Neale, Nelson Sent: Wednesday, June 20, 2001 8:46 AM To: Kaminski, Vince J Cc: Shanbhogue, Vasant Subject: Rice Vince, A couple of brief issues: 1) I have been asked to deliver a lecture(s) to a Rice environmental engineering class in the fall. Most of the preparatory work for the class is already complete, so I don't foresee any large time commitment for this endeavor. If there is a problem, let me know. 2) A manuscript based on my dissertation work was recently accepted for publication by ASCE Journal of Environmental Engineering. I would like to use my Enron address and contact information on the work, but am unsure of company policies. I can certainly default to the Rice information if there is a problem. Nelson",4
"Re: PJM RTO Order. Great summary. I think the two main issues you raise are the right ones, b= ut I have one other thought we should discuss internally. Do we want to cr= eate a set of incentives for the management of PJM that would entitle manag= ement to incentive compensation to the extent they meet certain goals -- eg= relieving congestion on the grid, increasing throughput across the transmi= ssion system, expediting interconnection (measured in terms of actual inter= connections not just applications approved), etc. This way we could create= an organization that would have the incentive to make a workable and open = transmission system. From:=09Sarah Novosel on 07/13/2001 07:57 AM To:=09Kevin M Presto/Enron@EnronXGate, Mark Dana Davis/HOU/ECT@ECT, Jeff Ad= er/HOU/EES@EES, Edward D Baughman/Enron@EnronXGate, Joe Gordon/Enron@EnronX= Gate, Janelle Scheuer/Enron@EnronXGate, mbrown9@enron.com, Mark Bernstein/H= OU/EES@EES, John Llodra/Enron@EnronXGate, W David Duran/Enron@EnronXGate, G= eorge Wood/Enron@EnronXGate, Dave Perrino/SF/ECT@ECT, Paul J Broderick/Enro= n@EnronXGate, Jason Thompkins/Enron@EnronXGate, Mason Hamlin/Enron@EnronXGa= te, Robert Stalford/Enron@EnronXGate, Tom May/Enron@EnronXGate, Gautam Gupt= a/Enron@EnronXGate, Narsimha Misra/Enron@EnronXGate, Steve Montovano/NA/Enr= on@Enron, Garrett Tripp/Enron@EnronXGate, Berney C Aucoin/Enron@EnronXGate,= Jason Thompkins/Enron@EnronXGate, Rob Wheeler/Enron@EnronXGate, Rogers Her= ndon/Enron@EnronXGate, Jim Meyn/Enron@EnronXGate, Aleck Dadson/Enron@EnronX= Gate, Daniel Allegretti/Enron@EnronXGate, Pearce W Hammond/HOU/EES@EES, Don= na Fulton/Corp/Enron@ENRON, Howard Fromer/NA/Enron@Enron, Kathleen Sullivan= /NA/Enron@ENRON, Tom Hoatson/Enron@EnronXGate, Thane Twiggs/Enron@EnronXGat= e, Sarah Novosel/Corp/Enron@ENRON, Christi L Nicolay/HOU/ECT@ECT, James D S= teffes/NA/Enron@Enron, Linda Robertson/NA/Enron@ENRON, Richard Shapiro/NA/E= nron@Enron, Steven J Kean/NA/Enron@Enron, Charles Decker/HOU/EES@EES, Nick = Politis/Enron@EnronXGate, sscott3@enron.com, Aleck Dadson/Enron@EnronXGate,= Lloyd Will/Enron@EnronXGate, Ray Alvarez/NA/Enron@ENRON, Susan M Landwehr/= NA/Enron@Enron, Charles Yeung/HOU/ECT@ECT, Andy Rodriquez/Enron@EnronXGate,= John J Lavorato/Enron@EnronXGate, Louise Kitchen/Enron@EnronXGate, Greg Wh= alley/Enron@EnronXGate, susan.j.mara@enron.com, Jeff Dasovich/NA/Enron@Enro= n, Karen Denne/Enron@EnronXGate, mpalmer@enron.com, Alan Comnes/Enron@Enron= XGate, Tom Briggs/NA/Enron@Enron, John Shelk/NA/Enron@Enron, Pat Shortridge= /Corp/Enron@Enron, Chris Long/Corp/Enron@ENRON, Mike Roan/ENRON@enronXgate,= Kerry Stroup/NA/Enron@Enron, Janine Migden/Enron@EnronXGate, Dave Mangskau= /Corp/Enron@ENRON cc:=09=20 Subject:=09PJM RTO Order Attached is a summary of the PJM RTO order. While it is somewhat lengthy, = the order has a lot of good information in it that I wanted to share with t= he group, particularly the Commission's statements regarding the existing c= onfiguration of the northeast and the need to expand it. We are working on summaries of the New York and New England RTO orders and = will have those out shortly. If you would like copies of the orders, just = let us know. We expect the mediation proceeding to begin within the next week. We will = keep you updated. Sarah =20",5
"Confidential Information and Securities Trading. To:HAEDICKE, MARK Email:mark.e.haedicke@enron.com - 7138536544 ? Enron Wholesale Services - Office of the Chairman ? From:??Mark Frevert, Chairman & CEO ??????Greg Whalley, President & COO ??????Mark Haedicke, Managing Director & General Counsel ? Subject:??Confidential Information and Securities Trading ? Enron Wholesale Services ('EWS') maintains official Policies and Procedures Regarding Confidential Information and Securities Trading ('Policies and Procedures'), which have been revised as of November 15, 2000 to reflect the new EWS structure. These policies and procedures are intended to allow us simultaneously to pursue our diverse businesses and to protect confidential information, our reputation for integrity, and EWS and its employees from legal liability. ? You are required to become familiar with, and to comply with, the Policies and Procedures. The newly revised Policies and Procedures are available for your review on LegalOnline, the new intranet website maintained by the Enron Wholesale Services Legal Department. Please click on the attached link to access LegalOnline: ? http://legalonline.corp.enron.com/chinesewall.asp ? You must certify your compliance with the Policies and Procedures within two weeks of your receipt of this message. The LegalOnline site will allow you to quickly and conveniently certify your compliance on-line with your SAP Personal ID number. If you have any questions concerning the Policies or Procedures, please call Lance Schuler at extension 3-5419, Mark Haedicke at extension 3-6544, Alan Aronowitz at extension 3-3214, Bob Bruce at extension 5-7780 or Donna Lowry at extension 3-1939.",0
"PRIVILEGED AND CONFIDENTIAL - Christopher Stelzer Draft. Attached is the draft testimony of Christopher Stelzer, on behalf of Avista Energy. If possible, we would appreciate comments no later than 3:00 PM EST on Sunday, August 26. Comments can be faxed to my attention at 202/338-2416 or emailed to cfr@vnf.com or gdb@vnf.com (Gary Bachman). Thank you. Cheryl Feik Ryan Van Ness Feldman, P.C. 1050 Thomas Jefferson Street NW Washington DC 20007 202/298-1845 cfr@vnf.com This email message is intended solely for the individual or individuals named above. It may contain confidential attorney-client privileged information and/or attorney work product. If the reader of this message is not the intended recipient, you are requested not to read, copy or distribute it or any of the information it contains. Please delete it immediately and notify the sender by return email or by telephone. Thank you. - 107177_1.DOC",5
"Re: DRAFT - AA PRC MEMO. Looks fine to me. I have not cross checked the lists, but I assume you have included everyone who was designated to serve on the PRCs per the original memo (in addition to the new bus unit additions) Billy Lemmons 04/30/2001 06:41 PM To: Stanley_Horton@Enron.com@Eott, Steven J Kean/NA/Enron@Enron, John Sherriff/LON/ECT@ECT cc: Ted C Bland/Enron@EnronXGate, Teresa Bosien/Enron@EnronXGate Subject: DRAFT - AA PRC MEMO Attached is a draft memo (including attachments) outlining the modifications we discussed last week. We can communicate changes by email, or I'll be happy to arrange a short conference call. If possible, I would like to distribute this by Wednesday or Thursday of this week. After the four of us reach consensus, I suggest we preview Cindy (and maybe the HR heads) prior to distributing. You will note that based on conversations I had with Skilling last week (where he emphasized his desire that we have one program, rather than a fractured program by business unit), I have added a review of the business unit distributions to the final meeting where we discuss the top perfomers. I've also added Janet Dietrich (tent.) and another EES person (tbd) to the AA Committee, since they have a large group of AAs and no representation on the committee. Please let me know if you have any questions or comments, and thanks for your help. Ted and Terry did all the hard work. Regards, Billy Click Print Preview or print a hard copy - it's easier to read. We do not have the Europe groups included. Should probably include, or note in the memo itself that info is forthcoming.",5
Department Meeting. depelschen children's home dinner,3
FW: Draft of Organizational Announcement. As we discussed... The other memo will follow shortly from Maureen McVicker (my assistant),5
